Year,Mo,Dy,Date1,Date2,Date3,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description
2010,1,1,2010-1-1,1/1/2010,"Friday, 1 January 2010",,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
2010,3,31,2010-3-31,31/3/2010,"Wednesday, 31 March 2010",,,Eyjafjallajokull,Iceland-S,Iceland,63.633,-19.633,1651,Stratovolcano,2,,2,1,,,,,,,,,2,1,,,,,,,,
2010,5,27,2010-5-27,27/5/2010,"Thursday, 27 May 2010",,,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,1,T,1,1,3,1,,,,1,3,1,1,1,3,1,,,,1,3,1
2010,5,29,2010-5-29,29/5/2010,"Saturday, 29 May 2010",4822,9172,Zealandia Bank,Mariana Is-C Pacific,United States,16.88,145.85,0,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,
2010,8,6,2010-8-6,6/8/2010,"Friday, 6 August 2010",,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,3,,4,1,,,5,1,,,,1,4,1,,,5,1,,,,1
2010,8,30,2010-8-30,30/8/2010,"Monday, 30 August 2010",,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,2,1,,,,,,,,,2,1,,,,,,,,
2010,10,26,2010-10-26,26/10/2010,"Tuesday, 26 October 2010",,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,,367,3,,,277,3,600,4,,3,367,3,,,277,3,600,4,,3
2010,11,1,2010-11-1,1/11/2010,"Monday, 1 November 2010",,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
2010,12,28,2010-12-28,28/12/2010,"Tuesday, 28 December 2010",,,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,,,,,,,,,,1,,,,,,,,,,,,
2011,1,3,2011-1-3,3/1/2011,"Monday, 3 January 2011",,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,M,1,1,,,1,1,,1,,,1,1,,,1,1,,1,,
2011,1,28,2011-1-28,28/1/2011,"Friday, 28 January 2011",,,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,Shield volcano,,,,,,,,1,,1,,,,,,,,1,,1,,
2011,2,23,2011-2-23,23/2/2011,"Wednesday, 23 February 2011",,,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2,,1,1,,,,,,,,,1,1,,,,,,,,
2011,3,18,2011-3-18,18/3/2011,"Friday, 18 March 2011",,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,,,,,,,,,,1,,,,,,,,,,1,,
2011,4,1,2011-4-1,1/4/2011,"Friday, 1 April 2011",,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,4,,,,,,,,,1,,,,,,,,,,1,,
2011,6,4,2011-6-4,4/6/2011,"Saturday, 4 June 2011",,,Puyehue-Cordon Caulle,Chile-C,Chile,-40.59,-72.117,2236,Stratovolcano,4,,,,,,,,,2,,,,,,,,,,2,,
2011,6,22,2011-6-22,22/6/2011,"Wednesday, 22 June 2011",,,Nabro,Africa-NE,Eritrea,13.37,41.7,2218,Stratovolcano,4,,31,1,,,,3,,1,,,31,1,,,,3,,1,,
2011,7,9,2011-7-9,9/7/2011,"Saturday, 9 July 2011",,,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,,,,,,,,,,1,,,,,,,,,,1,,
2011,7,17,2011-7-17,17/7/2011,"Sunday, 17 July 2011",,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,,,1,1,,,,,,,,,1,1,,,,,,,,
2011,12,27,2011-12-27,27/12/2011,"Tuesday, 27 December 2011",,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,3,m,4,1,,,,1,,,,,4,1,,,,1,,,,
2012,2,10,2012-2-10,10/2/2012,"Friday, 10 February 2012",,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,,,,,,,,2,,,,,,,,,,2,,
2012,3,2,2012-3-2,2/3/2012,"Friday, 2 March 2012",,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,L,,,,,,,,1,1,1,,,,,,,,,,
2012,12,12,2012-12-12,12/12/2012,"Wednesday, 12 December 2012",,,Tolbachik,Kamchatka,Russia,55.832,160.326,3611,Shield volcano,,,,,,,,,,1,,,,,,,,,,1,,
2013,2,12,2013-2-12,12/2/2013,"Tuesday, 12 February 2013",,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,M,1,1,,,1,1,,1,,,1,1,,,1,1,,1,,
2013,2,1,2013-2-1,1/2/2013,"Friday, 1 February 2013",,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,,,,,,,,,,1,,1,,,,,,,,1,,1
2013,5,7,2013-5-7,7/5/2013,"Tuesday, 7 May 2013",,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,,,5,1,,,8,1,,,,,5,1,,,8,1,,,,
2013,8,10,2013-8-10,10/8/2013,"Saturday, 10 August 2013",,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,3,,5,1,,,,,,,,,5,1,,,,,,,,
2013,9,1,2013-9-1,1/9/2013,"Sunday, 1 September 2013",,,Ubinas,Peru,Peru,-16.355,-70.903,5672,Stratovolcano,,,,,,,,,,1,,,,,,,,,,1,,
2013,9,4,2013-9-4,4/9/2013,"Wednesday, 4 September 2013",,,Aira,Kyushu-Japan,Japan,31.593,130.657,1117,Stratovolcano,,,,,,,,,,1,,,,,,,,,,1,,
2013,9,15,2013-9-15,15/9/2013,"Sunday, 15 September 2013",,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,2,,,,,,,,,2,,,,,,,,,,2,,
2013,12,13,2013-12-13,13/12/2013,"Friday, 13 December 2013",,,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,,G,1,1,,,,,,,,,1,1,,,,,,,,
